begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
13317;13327;6;1;Vridebrant;Vridebrant;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":13327,""startOffset"":13317,""start"":0,""end"":0}]";"[{""endOffset"":27,""startOffset"":17,""start"":""\/div[481]"",""end"":""\/div[481]""}]";133183327
13392;13403;6;1;unser rîter;Gahmuret;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":13,""start"":13379,""end"":13379}]";"[{""endOffset"":24,""startOffset"":13,""start"":""\/div[484]"",""end"":""\/div[484]""}]";133933403
13475;13485;6;1;der küngîn;Belacâne;null;0;0;0;R_AVT;16;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":5,""start"":13470,""end"":13470}]";"[{""endOffset"":15,""startOffset"":5,""start"":""\/div[487]"",""end"":""\/div[487]""}]";134763485
13779;13790;6;1;sînen boten;# unbestimmt (multi);null;0;0;0;R_AVT;17;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":10,""start"":""13769"",""end"":""13769""}]";"[{""endOffset"":21,""startOffset"":10,""start"":""\/div[499]"",""end"":""\/div[499]""}]";137803790
13943;13962;6;1;der junge Anschevîn;Gahmuret;null;0;0;0;R_AVT;17;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":3,""start"":13940,""end"":13940}]";"[{""endOffset"":22,""startOffset"":3,""start"":""\/div[505]"",""end"":""\/div[505]""}]";139443962
14100;14110;6;1;der vînde;# unbestimmt (multi);null;0;0;0;R_AVT;17;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":14,""start"":""14086"",""end"":""14086""}]";"[{""endOffset"":24,""startOffset"":14,""start"":""\/div[510]"",""end"":""\/div[510]""}]";141014110
14358;14383;6;1;liute vinster sô diu naht;# unbestimmt (multi);null;0;0;0;R_AVT;17;null;"[""PER""]";"[{""endOffset"":25,""startOffset"":0,""start"":""14358"",""end"":""14358""}]";"[{""endOffset"":25,""startOffset"":0,""start"":""\/div[520]"",""end"":""\/div[520]""}]";143594383
14515;14525;6;1;die besten;# unbestimmt (multi);null;0;0;0;R_AVT;17;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":10,""start"":""14505"",""end"":""14505""}]";"[{""endOffset"":20,""startOffset"":10,""start"":""\/div[525]"",""end"":""\/div[525]""}]";145164525
14533;14544;6;1;die vrouwen;# unbestimmt (multi);null;0;0;0;R_AVT;17;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":14533,""end"":14533}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[526]"",""end"":""\/div[526]""}]";145344544
14617;14629;6;1;sîne knappen;# unbestimmt (multi);null;0;0;0;R_AVT;18;null;"[""PER""]";"[{""endOffset"":12,""startOffset"":0,""start"":14617,""end"":14617}]";"[{""endOffset"":12,""startOffset"":0,""start"":""\/div[530]"",""end"":""\/div[530]""}]";146184629
