begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
14281;14294;64;1;der ungehiure;Waldmann;null;0;0;1;R_HOFART;18;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":10,""start"":14271,""end"":14271}]";"[{""endOffset"":23,""startOffset"":10,""start"":""\/div[539]"",""end"":""\/div[539]""}]";142824294
15818;15844;64;1;ein harte ;null;-1;0;0;1;R_HOFART;20;null;"[""PER""]";"[{""endOffset"":15844,""startOffset"":15818,""start"":0,""end"":0}]";"[{""endOffset"":6,""startOffset"":23,""start"":""\/div[595]"",""end"":""\/div[596]""}]";158195844
16275;16286;64;1;der waltman;Waldmann;null;0;0;1;R_HOFART;20;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":15,""start"":""16260"",""end"":""16260""}]";"[{""endOffset"":26,""startOffset"":15,""start"":""\/div[612]"",""end"":""\/div[612]""}]";162766286
16906;16917;64;1;der waltman;Waldmann;null;0;0;1;R_HOFART;21;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":9,""start"":""16897"",""end"":""16897""}]";"[{""endOffset"":20,""startOffset"":9,""start"":""\/div[637]"",""end"":""\/div[637]""}]";169076917
17805;17810;64;1;gotes;# Gott;null;0;0;1;R_HOFART;22;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":17,""start"":17788,""end"":17788}]";"[{""endOffset"":22,""startOffset"":17,""start"":""\/div[670]"",""end"":""\/div[670]""}]";178067810
18895;18904;64;1;ein rîter;Ascalôn;null;0;0;1;R_HOFART;24;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":18895,""end"":18895}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[712]"",""end"":""\/div[712]""}]";188968904
19389;19395;64;1; rîter;Kâlogrenant;null;0;0;1;R_HOFART;24;null;"[""PER""]";"[{""endOffset"":7,""startOffset"":1,""start"":19388,""end"":19388}]";"[{""endOffset"":7,""startOffset"":1,""start"":""\/div[729]"",""end"":""\/div[729]""}]";193909395
21439;21449;64;1;wirt;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;27;null;"[""PER""]";"[{""endOffset"":21449,""startOffset"":21439,""start"":0,""end"":0}]";"[{""endOffset"":21,""startOffset"":17,""start"":""\/div[802]"",""end"":""\/div[802]""}]";214411449
21745;21759;64;1;mîn juncvrouwe;Edelfräulein (Kalogrenant);null;0;0;1;R_HOFART;27;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":7,""start"":21738,""end"":21738}]";"[{""endOffset"":21,""startOffset"":7,""start"":""\/div[812]"",""end"":""\/div[812]""}]";217471759
21768;21771;64;1;got;# Gott;null;0;0;1;R_HOFART;27;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":7,""start"":21761,""end"":21761}]";"[{""endOffset"":10,""startOffset"":7,""start"":""\/div[813]"",""end"":""\/div[813]""}]";217701771
